timestamp,lap,ego_x,ego_y,ego_vel,ego_s,ego_d,opp_x,opp_y,opp_vel,opp_s,opp_d,rel_x,rel_y,rel_vel,rel_s,rel_d,imm_trajectory,imm_active
1785010474.9142785,0,0.0,0.0,0.0,69.49256461381,0.01970947128795778,0.0,0.0,0.0,69.49256461381,0.01970947128795778,0.0,0.0,0.0,0.0,0.0,[],False
1785010474.962451,0,0.0,0.0,0.0,69.49256461381,0.01970947128795778,0.0,0.0,0.0,69.49256461381,0.01970947128795778,0.0,0.0,0.0,0.0,0.0,[],False
1785010475.012401,0,0.0,0.0,0.0,69.49256461381,0.01970947128795778,0.0,0.0,0.0,69.49256461381,0.01970947128795778,0.0,0.0,0.0,0.0,0.0,[],False
1785010475.0698009,0,0.0,0.0,0.0,69.49256461381,0.01970947128795778,0.0,0.0,0.0,69.49256461381,0.01970947128795778,0.0,0.0,0.0,0.0,0.0,[],False
1785010475.1123965,0,0.0,0.0,0.0,69.49256461381,0.01970947128795778,0.0,0.0,0.0,69.49256461381,0.01970947128795778,0.0,0.0,0.0,0.0,0.0,[],False
1785010475.165364,0,0.0,0.0,0.0,69.49256461381,0.01970947128795778,0.0,0.0,0.0,69.49256461381,0.01970947128795778,0.0,0.0,0.0,0.0,0.0,[],False
1785010475.2124808,0,0.0,0.0,0.0,69.49256461381,0.01970947128795778,0.0,0.0,0.0,69.49256461381,0.01970947128795778,0.0,0.0,0.0,0.0,0.0,[],False
1785010475.2628417,0,0.0,0.0,0.0,69.49256461381,0.01970947128795778,0.0,0.0,0.0,69.49256461381,0.01970947128795778,0.0,0.0,0.0,0.0,0.0,[],False
1785010475.3124602,0,0.0,0.0,0.0,69.49256461381,0.01970947128795778,0.0,0.0,0.0,69.49256461381,0.01970947128795778,0.0,0.0,0.0,0.0,0.0,[],False
1785010475.3625913,0,0.0,0.0,0.0,69.49256461381,0.01970947128795778,0.0,0.0,0.0,69.49256461381,0.01970947128795778,0.0,0.0,0.0,0.0,0.0,[],False
1785010475.4134128,0,0.0,0.0,0.0,69.49256461381,0.01970947128795778,0.0,0.0,0.0,69.49256461381,0.01970947128795778,0.0,0.0,0.0,0.0,0.0,[],False
1785010475.462401,0,0.0,0.0,0.0,69.49256461381,0.01970947128795778,0.0,0.0,0.0,69.49256461381,0.01970947128795778,0.0,0.0,0.0,0.0,0.0,[],False
1785010475.5124395,0,0.0,0.0,0.0,69.49256461381,0.01970947128795778,0.0,0.0,0.0,69.49256461381,0.01970947128795778,0.0,0.0,0.0,0.0,0.0,[],False
1785010475.563066,0,0.0,0.0,0.0,69.49256461381,0.01970947128795778,0.0,0.0,0.0,69.49256461381,0.01970947128795778,0.0,0.0,0.0,0.0,0.0,[],False
1785010475.620225,0,0.0,0.0,0.0,69.49256461381,0.01970947128795778,0.0,0.0,0.0,69.49256461381,0.01970947128795778,0.0,0.0,0.0,0.0,0.0,[],False
1785010475.669368,0,0.0,0.0,0.0,69.49256461381,0.01970947128795778,0.0,0.0,0.0,69.49256461381,0.01970947128795778,0.0,0.0,0.0,0.0,0.0,[],False
1785010475.7226126,0,0.0,0.0,0.0,69.49256461381,0.01970947128795778,0.0,0.0,0.0,69.49256461381,0.01970947128795778,0.0,0.0,0.0,0.0,0.0,[],False
1785010475.762413,0,0.0,0.0,0.0,69.49256461381,0.01970947128795778,0.0,0.0,0.0,69.49256461381,0.01970947128795778,0.0,0.0,0.0,0.0,0.0,[],False
1785010475.812363,0,0.0,0.0,0.0,69.49256461381,0.01970947128795778,0.0,0.0,0.0,69.49256461381,0.01970947128795778,0.0,0.0,0.0,0.0,0.0,[],False
1785010475.8625278,0,0.0,0.0,0.0,69.49256461381,0.01970947128795778,0.0,0.0,0.0,69.49256461381,0.01970947128795778,0.0,0.0,0.0,0.0,0.0,[],False
1785010475.9123702,0,0.0,0.0,0.0,69.49256461381,0.01970947128795778,0.0,0.0,0.0,69.49256461381,0.01970947128795778,0.0,0.0,0.0,0.0,0.0,[],False
1785010475.9634442,0,0.0,0.0,0.0,69.49256461381,0.01970947128795778,0.0,0.0,0.0,69.49256461381,0.01970947128795778,0.0,0.0,0.0,0.0,0.0,[],False
1785010476.0177386,0,0.0,0.0,0.0,69.49256461381,0.01970947128795778,0.0,0.0,0.0,69.49256461381,0.01970947128795778,0.0,0.0,0.0,0.0,0.0,[],False
